"DATA SOURCE";"DATABASE"
"Absence_Reason.txt";"Text File"
"Behavior_Event_Type.txt";"Text File"
"Behavior_Location_Type.txt";"Text File"
"Behavior_Resolution_Type.txt";"Text File"
"Behavior_Role.txt";"Text File"
"Dim_Date.xlsx";"Excel File"
"Grade_Level.txt";"Text File"
"Schools.xml";"XML File"
"Students1.xml";"XML File"
"Students2.xml";"XML File"
"Students3.xml";"XML File"
"Students4.xml";"XML File"
"Students5.xml";"XML File"
"Students6.xml";"XML File"
"Students7.xml";"XML File"
"Students8.xml";"XML File"
"Student_Absence_AL.csv";"CSV File"
"Student_Absence_NE";"MS SQL Server"
"Student_Absence_NW";"PostgreSQL"
"Student_Absence_SE";"MySQL"
"Student_Absence_SW";"MySQL"
"Student_Behavior_AL.csv";"CSV File"
"Student_Behavior_NE";"MS SQL Server"
"Student_Behavior_NW";"PostgreSQL"
"Student_Behavior_SE";"MySQL"
"Student_Behavior_SW";"MySQL"
"Student_Behavior_Resolution_AL.csv";"CSV File"
"Student_Behavior_Resolution_NE";"MS SQL Server"
"Student_Behavior_Resolution_NW";"PostgreSQL"
"Student_Behavior_Resolution_SE";"MySQL"
"Student_Behavior_Resolution_SW";"MySQL"
